,Entry,Organism,EC numbers,Interpro_ids,Org
2,Q63060,Rattus norvegicus (Rat),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR042018', 'InterPro:IPR043129']",Rattus norvegicus
3,Q9WU65,Mus musculus (Mouse),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR042018', 'InterPro:IPR043129']",Mus musculus
4,Q64516,Mus musculus (Mouse),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR042018', 'InterPro:IPR043129']",Mus musculus
5,Q14409,Homo sapiens (Human),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR042018', 'InterPro:IPR043129']",Homo sapiens
6,Q4R4D5,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR042018', 'InterPro:IPR043129']",Macaca fascicularis
7,Q6ZS86,Homo sapiens (Human),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR037444', 'InterPro:IPR043129']",Homo sapiens
8,Q08D86,Bos taurus (Bovine),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR037444', 'InterPro:IPR043129']",Bos taurus
9,Q8BX05,Mus musculus (Mouse),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR037444', 'InterPro:IPR043129']",Mus musculus
10,Q0IID9,Bos taurus (Bovine),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR042018', 'InterPro:IPR043129']",Bos taurus
0,Q8H215,Triticum aestivum (Wheat),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR022953', 'InterPro:IPR035966']",Triticum aestivum
0,Q09756,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Schizosaccharomyces pombe
1,P50521,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Schizosaccharomyces pombe
0,P09195,Triticum aestivum (Wheat),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Triticum aestivum
0,Q10208,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Schizosaccharomyces pombe
0,P55229,Arabidopsis thaliana (Mouse-ear cress),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']",Arabidopsis thaliana
1,P55228,Arabidopsis thaliana (Mouse-ear cress),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']",Arabidopsis thaliana
2,P55230,Arabidopsis thaliana (Mouse-ear cress),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']",Arabidopsis thaliana
3,Q9SIK1,Arabidopsis thaliana (Mouse-ear cress),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']",Arabidopsis thaliana
4,P55231,Arabidopsis thaliana (Mouse-ear cress),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']",Arabidopsis thaliana
0,P55238,Hordeum vulgare (Barley),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']",Hordeum vulgare
1,P30524,Hordeum vulgare (Barley),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']",Hordeum vulgare
2,P55239,Hordeum vulgare (Barley),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011831', 'InterPro:IPR029044']",Hordeum vulgare
0,O25827,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']",Helicobacter pylori
1,Q9ZJZ7,Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']",Helicobacter pylori
0,Q65G82,Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Bacillus licheniformis
0,Q9CIU9,Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Lactococcus lactis
1,A2RHX9,Lactococcus lactis subsp. cremoris (strain MG1363),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Lactococcus lactis
0,O82663,Arabidopsis thaliana (Mouse-ear cress),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Arabidopsis thaliana
1,Q8LB02,Arabidopsis thaliana (Mouse-ear cress),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Arabidopsis thaliana
2,Q8LBZ7,Arabidopsis thaliana (Mouse-ear cress),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Arabidopsis thaliana
3,Q9FJP9,Arabidopsis thaliana (Mouse-ear cress),1.3.5.1,"['InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Arabidopsis thaliana
4,Q9ZPX5,Arabidopsis thaliana (Mouse-ear cress),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Arabidopsis thaliana
0,P0A6V1,Escherichia coli (strain K12),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
1,B6I2Z6,Escherichia coli (strain SE11),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
2,P0A6V3,Escherichia coli O157:H7,2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
3,B1X775,Escherichia coli (strain K12 / DH10B),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
4,B7L4W0,Escherichia coli (strain 55989 / EAEC),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
5,B7M2J3,Escherichia coli O8 (strain IAI1),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
6,B7N1M2,Escherichia coli O81 (strain ED1a),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
7,Q1R5J6,Escherichia coli (strain UTI89 / UPEC),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
8,C4ZVY0,Escherichia coli (strain K12 / MC4100 / BW2952),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
9,A8A5P0,Escherichia coli O9:H4 (strain HS),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
10,B5YUI6,Escherichia coli O157:H7 (strain EC4115 / EHEC),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
11,A7ZSW3,Escherichia coli O139:H28 (strain E24377A / ETEC),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
12,B1LI91,Escherichia coli (strain SMS-3-5 / SECEC),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
13,B7MDR5,Escherichia coli O45:K1 (strain S88 / ExPEC),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
14,B7NMJ5,Escherichia coli O7:K1 (strain IAI39 / ExPEC),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
15,B7UKY7,Escherichia coli O127:H6 (strain E2348/69 / EPEC),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
16,B7NE40,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
17,Q0TC29,Escherichia coli O6:K15:H31 (strain 536 / UPEC),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
18,P0A6V2,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
19,B1IP34,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia coli
20,B7LSE1,Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Escherichia fergusonii
21,P0A6V4,Shigella flexneri,2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Shigella flexneri
0,Q6G8M9,Staphylococcus aureus (strain MSSA476),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Staphylococcus aureus
1,Q7A0N4,Staphylococcus aureus (strain MW2),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Staphylococcus aureus
2,Q5HF76,Staphylococcus aureus (strain COL),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Staphylococcus aureus
3,Q2FG40,Staphylococcus aureus (strain USA300),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Staphylococcus aureus
4,Q6GG09,Staphylococcus aureus (strain MRSA252),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Staphylococcus aureus
5,Q7A559,Staphylococcus aureus (strain N315),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Staphylococcus aureus
6,Q99TG5,Staphylococcus aureus (strain Mu50 / ATCC 700699),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Staphylococcus aureus
7,Q2FXM9,Staphylococcus aureus (strain NCTC 8325 / PS 47),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Staphylococcus aureus
8,Q2YTE3,Staphylococcus aureus (strain bovine RF122 / ET3-1),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Staphylococcus aureus
9,Q5HNK7,Staphylococcus epidermidis (strain ATCC 35984 / RP62A),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Staphylococcus epidermidis
0,Q8TZH9,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),3.1.3.11,['InterPro:IPR000760'],Pyrococcus furiosus
0,O15648,Trypanosoma brucei brucei,2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012004', 'InterPro:IPR022953', 'InterPro:IPR035966']",Trypanosoma brucei
0,P06999,Escherichia coli (strain K12),2.7.1.11,"['InterPro:IPR002173', 'InterPro:IPR011611', 'InterPro:IPR017583', 'InterPro:IPR029056']",Escherichia coli
1,P0A796,Escherichia coli (strain K12),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
2,P80019,Lactobacillus delbrueckii subsp. bulgaricus,2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Lactobacillus delbrueckii
3,P00512,Geobacillus stearothermophilus (Bacillus stearothermophilus),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Geobacillus stearothermophilus
4,B6I4Q8,Escherichia coli (strain SE11),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
5,P0A797,Escherichia coli O157:H7,2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
6,B1XB82,Escherichia coli (strain K12 / DH10B),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
7,B7LA13,Escherichia coli (strain 55989 / EAEC),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
8,B7N2Q7,Escherichia coli O81 (strain ED1a),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
9,B7M6W7,Escherichia coli O8 (strain IAI1),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
10,C5A083,Escherichia coli (strain K12 / MC4100 / BW2952),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
11,A8A720,Escherichia coli O9:H4 (strain HS),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
12,A7ZUC9,Escherichia coli O139:H28 (strain E24377A / ETEC),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
13,B5YZ53,Escherichia coli O157:H7 (strain EC4115 / EHEC),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
14,B7MI48,Escherichia coli O45:K1 (strain S88 / ExPEC),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
15,B7NU91,Escherichia coli O7:K1 (strain IAI39 / ExPEC),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
16,B1LNL9,Escherichia coli (strain SMS-3-5 / SECEC),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
17,B7UNN6,Escherichia coli O127:H6 (strain E2348/69 / EPEC),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
18,Q0TAE8,Escherichia coli O6:K15:H31 (strain 536 / UPEC),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
19,B7NFL3,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
20,Q8FBD0,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
21,O34529,Bacillus subtilis (strain 168),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Bacillus subtilis
22,B1IVG3,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia coli
23,B7LVC9,Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Escherichia fergusonii
24,Q59214,Paenibacillus macquariensis (Bacillus macquariensis),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Paenibacillus macquariensis
25,O08308,Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Clostridium acetobutylicum
26,P0A798,Shigella flexneri,2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Shigella flexneri
0,Q9T071,Arabidopsis thaliana (Mouse-ear cress),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Arabidopsis thaliana
1,Q9LPS1,Arabidopsis thaliana (Mouse-ear cress),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Arabidopsis thaliana
2,P93834,Arabidopsis thaliana (Mouse-ear cress),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Arabidopsis thaliana
3,Q42525,Arabidopsis thaliana (Mouse-ear cress),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Arabidopsis thaliana
4,Q9FZG4,Arabidopsis thaliana (Mouse-ear cress),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Arabidopsis thaliana
5,Q56XE8,Arabidopsis thaliana (Mouse-ear cress),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Arabidopsis thaliana
0,P94417,Bacillus subtilis (strain 168),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR035804', 'InterPro:IPR036393', 'InterPro:IPR042199', 'InterPro:IPR045865']",Bacillus subtilis
1,Q04795,Bacillus subtilis (strain 168),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR045865']",Bacillus subtilis
2,P08495,Bacillus subtilis (strain 168),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']",Bacillus subtilis
0,Q3SZB7,Bos taurus (Bovine),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Bos taurus
1,Q2KJJ9,Bos taurus (Bovine),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Bos taurus
