	Entry	Organism	EC numbers	Interpro_ids
4	P63355	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	['EC 7.4.2.11']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR012692', 'InterPro:IPR017871', 'InterPro:IPR018449', 'InterPro:IPR026253', 'InterPro:IPR027417', 'InterPro:IPR041701', 'InterPro:IPR045865']
5	Q83MC5	Shigella flexneri	['EC 7.4.2.11']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR012692', 'InterPro:IPR017871', 'InterPro:IPR018449', 'InterPro:IPR026253', 'InterPro:IPR027417', 'InterPro:IPR041701', 'InterPro:IPR045865']
0	P68187	Escherichia coli (strain K12)	['EC 7.5.2.1']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR008995', 'InterPro:IPR012340', 'InterPro:IPR015855', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR040582']
1	P68188	Escherichia coli O157:H7	['EC 7.5.2.1']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR008995', 'InterPro:IPR012340', 'InterPro:IPR015855', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR040582']
2	Q1R3Q1	Escherichia coli (strain UTI89 / UPEC)	['EC 7.5.2.1']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR008995', 'InterPro:IPR012340', 'InterPro:IPR015855', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR040582']
3	Q8FB37	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	['EC 7.5.2.1']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR008995', 'InterPro:IPR012340', 'InterPro:IPR015855', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR040582']
4	P19566	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	['EC 7.5.2.1']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR008995', 'InterPro:IPR012340', 'InterPro:IPR015855', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR040582']
5	Q7UBD0	Shigella flexneri	['EC 7.5.2.1']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR008995', 'InterPro:IPR012340', 'InterPro:IPR015855', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR040582']
6	Q0TA26	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	['EC 7.5.2.1']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR008995', 'InterPro:IPR012340', 'InterPro:IPR015855', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR040582']
7	P18813	Klebsiella aerogenes (Enterobacter aerogenes)	['EC 7.5.2.1']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR008995', 'InterPro:IPR015855', 'InterPro:IPR027417', 'InterPro:IPR040582']
0	P60752	Escherichia coli (strain K12)	['EC 7.5.2.6']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR011917', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640', 'InterPro:IPR039421']
1	P60753	Escherichia coli O157:H7	['EC 7.5.2.6']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR011917', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640', 'InterPro:IPR039421']
2	Q1RDU4	Escherichia coli (strain UTI89 / UPEC)	['EC 7.5.2.6']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR011917', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640', 'InterPro:IPR039421']
3	Q0TJD9	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	['EC 7.5.2.6']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR011917', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640', 'InterPro:IPR039421']
4	Q8FJB1	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	['EC 7.5.2.6']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR011917', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640', 'InterPro:IPR039421']
5	Q83LP0	Shigella flexneri	['EC 7.5.2.6']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR011917', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640', 'InterPro:IPR039421']
6	P44407	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	['EC 7.5.2.6']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR011917', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640', 'InterPro:IPR039421']
7	Q47908	Francisella novicida	['EC 7.5.2.6']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR011917', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640', 'InterPro:IPR039421']
0	O75110	Homo sapiens (Human)	['EC 7.6.2.1']	['InterPro:IPR001757', 'InterPro:IPR006539', 'InterPro:IPR008250', 'InterPro:IPR018303', 'InterPro:IPR023214', 'InterPro:IPR023298', 'InterPro:IPR023299', 'InterPro:IPR030356', 'InterPro:IPR032630', 'InterPro:IPR032631', 'InterPro:IPR036412', 'InterPro:IPR044492']
1	P98196	Homo sapiens (Human)	['EC 7.6.2.1']	['InterPro:IPR001757', 'InterPro:IPR006539', 'InterPro:IPR008250', 'InterPro:IPR018303', 'InterPro:IPR023214', 'InterPro:IPR023298', 'InterPro:IPR023299', 'InterPro:IPR030361', 'InterPro:IPR032630', 'InterPro:IPR032631', 'InterPro:IPR036412', 'InterPro:IPR044492']
2	Q8NB49	Homo sapiens (Human)	['EC 7.6.2.1']	['InterPro:IPR001757', 'InterPro:IPR006539', 'InterPro:IPR008250', 'InterPro:IPR018303', 'InterPro:IPR023214', 'InterPro:IPR023298', 'InterPro:IPR023299', 'InterPro:IPR030363', 'InterPro:IPR032630', 'InterPro:IPR032631', 'InterPro:IPR036412', 'InterPro:IPR044492']
3	Q9P241	Homo sapiens (Human)	['EC 7.6.2.1']	['InterPro:IPR001757', 'InterPro:IPR006539', 'InterPro:IPR008250', 'InterPro:IPR018303', 'InterPro:IPR023214', 'InterPro:IPR023298', 'InterPro:IPR023299', 'InterPro:IPR030360', 'InterPro:IPR032630', 'InterPro:IPR032631', 'InterPro:IPR036412', 'InterPro:IPR044492']
4	P21439	Homo sapiens (Human)	['EC 7.6.2.1']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030275', 'InterPro:IPR036640', 'InterPro:IPR039421']
5	P98198	Homo sapiens (Human)	['EC 7.6.2.1']	['InterPro:IPR001757', 'InterPro:IPR006539', 'InterPro:IPR008250', 'InterPro:IPR018303', 'InterPro:IPR023214', 'InterPro:IPR023298', 'InterPro:IPR023299', 'InterPro:IPR030347', 'InterPro:IPR032630', 'InterPro:IPR032631', 'InterPro:IPR036412', 'InterPro:IPR044492']
6	O94823	Homo sapiens (Human)	['EC 7.6.2.1']	['InterPro:IPR001757', 'InterPro:IPR006539', 'InterPro:IPR008250', 'InterPro:IPR018303', 'InterPro:IPR023214', 'InterPro:IPR023298', 'InterPro:IPR023299', 'InterPro:IPR030359', 'InterPro:IPR032630', 'InterPro:IPR032631', 'InterPro:IPR036412', 'InterPro:IPR044492']
7	Q9NTI2	Homo sapiens (Human)	['EC 7.6.2.1']	['InterPro:IPR001757', 'InterPro:IPR006539', 'InterPro:IPR008250', 'InterPro:IPR018303', 'InterPro:IPR023214', 'InterPro:IPR023298', 'InterPro:IPR023299', 'InterPro:IPR032630', 'InterPro:IPR032631', 'InterPro:IPR036412', 'InterPro:IPR044492']
8	Q9Y2G3	Homo sapiens (Human)	['EC 7.6.2.1']	['InterPro:IPR001757', 'InterPro:IPR006539', 'InterPro:IPR008250', 'InterPro:IPR018303', 'InterPro:IPR023214', 'InterPro:IPR023298', 'InterPro:IPR023299', 'InterPro:IPR030362', 'InterPro:IPR032630', 'InterPro:IPR032631', 'InterPro:IPR036412', 'InterPro:IPR044492']
9	O60312	Homo sapiens (Human)	['EC 7.6.2.1']	['InterPro:IPR001757', 'InterPro:IPR006539', 'InterPro:IPR008250', 'InterPro:IPR018303', 'InterPro:IPR023214', 'InterPro:IPR023298', 'InterPro:IPR023299', 'InterPro:IPR030357', 'InterPro:IPR032630', 'InterPro:IPR032631', 'InterPro:IPR036412', 'InterPro:IPR044492']
0	P21448	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	['EC 7.6.2.2', 'EC 7.6.2.1']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030258', 'InterPro:IPR036640', 'InterPro:IPR039421']
1	P23174	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	['EC 7.6.2.1']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030275', 'InterPro:IPR036640', 'InterPro:IPR039421']
0	Q15311	Homo sapiens (Human)	['EC 7.6.2.2, EC 7.6.2.3']	['InterPro:IPR000198', 'InterPro:IPR008936', 'InterPro:IPR039767']
1	Q2M3G0	Homo sapiens (Human)	['EC 7.6.2.2']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640', 'InterPro:IPR039421']
2	Q96J66	Homo sapiens (Human)	['EC 7.6.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030251', 'InterPro:IPR036640']
3	Q5T3U5	Homo sapiens (Human)	['EC 7.6.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640']
4	O15438	Homo sapiens (Human)	['EC 7.6.2.-', 'EC 7.6.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR005292', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640']
5	O15439	Homo sapiens (Human)	['EC 7.6.2.-', 'EC 7.6.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030240', 'InterPro:IPR036640']
6	Q9UNQ0	Homo sapiens (Human)	['EC 7.6.2.2']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR013525', 'InterPro:IPR027417', 'InterPro:IPR030256', 'InterPro:IPR043926']
7	O15440	Homo sapiens (Human)	['EC 7.6.2.-', 'EC 7.6.2.2']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030238', 'InterPro:IPR036640']
8	P08183	Homo sapiens (Human)	['EC 7.6.2.2', 'EC 7.6.2.1']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030258', 'InterPro:IPR036640', 'InterPro:IPR039421']
9	P33527	Homo sapiens (Human)	['EC 7.6.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR005292', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640']
1	P21449	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	['EC 7.6.2.2']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640', 'InterPro:IPR039421']
0	Q4GZT4	Bos taurus (Bovine)	['EC 7.6.2.2']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR013525', 'InterPro:IPR027417', 'InterPro:IPR030256', 'InterPro:IPR043926']
1	Q8HXQ5	Bos taurus (Bovine)	['EC 7.6.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR005292', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640']
1	O95255	Homo sapiens (Human)	['EC 7.6.2.-', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR005292', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030239', 'InterPro:IPR036640']
7	Q92887	Homo sapiens (Human)	['EC 7.6.2.-', 'EC 7.6.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR005292', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030247', 'InterPro:IPR036640']
0	O88269	Rattus norvegicus (Rat)	['EC 7.6.2.-', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR005292', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030239', 'InterPro:IPR036640']
1	Q62796	Rattus norvegicus (Rat)	['EC 7.6.2.2, EC 7.6.2.3']	['InterPro:IPR000198', 'InterPro:IPR008936', 'InterPro:IPR039767']
2	Q63120	Rattus norvegicus (Rat)	['EC 7.6.2.-', 'EC 7.6.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR005292', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030247', 'InterPro:IPR036640']
3	O88563	Rattus norvegicus (Rat)	['EC 7.6.2.-', 'EC 7.6.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR005292', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640']
4	Q8CG09	Rattus norvegicus (Rat)	['EC 7.6.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR005292', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR018170', 'InterPro:IPR027417', 'InterPro:IPR036640']
5	F1M3J4	Rattus norvegicus (Rat)	['EC 7.6.2.-', 'EC 7.6.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030240', 'InterPro:IPR036640']
0	P39109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 7.2.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR036640']
1	P53049	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 7.2.2.2', 'EC 7.6.2.3']	['InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR011527', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR030244', 'InterPro:IPR036640']
0	Q9KIF7	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	['EC 7.6.2.9']	['InterPro:IPR000644', 'InterPro:IPR003439', 'InterPro:IPR003593', 'InterPro:IPR005892', 'InterPro:IPR017871', 'InterPro:IPR027417', 'InterPro:IPR046342']
0	P19854	Equus caballus (Horse)	['EC 1.1.1.1', 'EC 1.1.1.-', 'EC 1.1.1.284']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR014183', 'InterPro:IPR036291']
1	P00327	Equus caballus (Horse)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
2	P00328	Equus caballus (Horse)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
0	P00334	Drosophila melanogaster (Fruit fly)	['EC 1.1.1.1']	['InterPro:IPR002347', 'InterPro:IPR002425', 'InterPro:IPR020904', 'InterPro:IPR036291']
1	P46415	Drosophila melanogaster (Fruit fly)	['EC 1.1.1.1', 'EC 1.1.1.-', 'EC 1.1.1.73', 'EC 1.1.1.284']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR014183', 'InterPro:IPR036291']
2	P26719	Drosophila yakuba (Fruit fly)	['EC 1.1.1.1']	['InterPro:IPR002347', 'InterPro:IPR002425', 'InterPro:IPR020904', 'InterPro:IPR036291']
3	P28483	Drosophila erecta (Fruit fly)	['EC 1.1.1.1']	['InterPro:IPR002347', 'InterPro:IPR002425', 'InterPro:IPR020904', 'InterPro:IPR036291']
4	Q9GN94	Drosophila sechellia (Fruit fly)	['EC 1.1.1.1']	['InterPro:IPR002347', 'InterPro:IPR002425', 'InterPro:IPR020904', 'InterPro:IPR036291']
5	P28484	Drosophila teissieri (Fruit fly)	['EC 1.1.1.1']	['InterPro:IPR002347', 'InterPro:IPR002425', 'InterPro:IPR020904', 'InterPro:IPR036291']
6	P07162	Drosophila mauritiana (Fruit fly)	['EC 1.1.1.1']	['InterPro:IPR002347', 'InterPro:IPR002425', 'InterPro:IPR020904', 'InterPro:IPR036291']
7	P07159	Drosophila orena (Fruit fly)	['EC 1.1.1.1']	['InterPro:IPR002347', 'InterPro:IPR002425', 'InterPro:IPR020904', 'InterPro:IPR036291']
8	Q24641	Drosophila simulans (Fruit fly)	['EC 1.1.1.1']	['InterPro:IPR002347', 'InterPro:IPR002425', 'InterPro:IPR020904', 'InterPro:IPR036291']
9	Q50L96	Drosophila ananassae (Fruit fly)	['EC 1.1.1.1']	['InterPro:IPR002347', 'InterPro:IPR002425', 'InterPro:IPR020904', 'InterPro:IPR036291']
1	P07327	Homo sapiens (Human)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
2	P00326	Homo sapiens (Human)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
3	P28332	Homo sapiens (Human)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR028633', 'InterPro:IPR036291']
4	P40394	Homo sapiens (Human)	['EC 1.1.1.105', 'EC 1.1.1.1', 'EC 1.1.1.66']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR028635', 'InterPro:IPR036291']
0	P12311	Geobacillus stearothermophilus (Bacillus stearothermophilus)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
1	P42327	Geobacillus stearothermophilus (Bacillus stearothermophilus)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
2	P42328	Geobacillus stearothermophilus (Bacillus stearothermophilus)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
0	P00329	Mus musculus (Mouse)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
1	P28474	Mus musculus (Mouse)	['EC 1.1.1.1', 'EC 1.1.1.-', 'EC 1.1.1.284']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR014183', 'InterPro:IPR036291']
2	Q64437	Mus musculus (Mouse)	['EC 1.1.1.105', 'EC 1.1.1.1', 'EC 1.1.1.66']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR028635', 'InterPro:IPR036291']
0	O19053	Oryctolagus cuniculus (Rabbit)	['EC 1.1.1.1', 'EC 1.1.1.-', 'EC 1.1.1.284']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR014183', 'InterPro:IPR020843', 'InterPro:IPR036291']
1	O46649	Oryctolagus cuniculus (Rabbit)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR028632', 'InterPro:IPR036291']
2	O46650	Oryctolagus cuniculus (Rabbit)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR028632', 'InterPro:IPR036291']
3	Q03505	Oryctolagus cuniculus (Rabbit)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
0	Q7Z4W1	Homo sapiens (Human)	['EC 1.1.1.10']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	Q91XV4	Mesocricetus auratus (Golden hamster)	['EC 1.1.1.10']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	Q920P0	Rattus norvegicus (Rat)	['EC 1.1.1.10']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	Q91X52	Mus musculus (Mouse)	['EC 1.1.1.10']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	P0AEK2	Escherichia coli (strain K12)	['EC 1.1.1.100']	['InterPro:IPR002347', 'InterPro:IPR011284', 'InterPro:IPR020904', 'InterPro:IPR036291']
1	P49327	Homo sapiens (Human)	['EC 2.3.1.85', 'EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase', 'EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase', 'EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase', 'EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase', 'EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase', 'EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase', 'EC 3.1.2.14)]']	['InterPro:IPR001031', 'InterPro:IPR001227', 'InterPro:IPR006162', 'InterPro:IPR009081', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013217', 'InterPro:IPR013968', 'InterPro:IPR014030', 'InterPro:IPR014031', 'InterPro:IPR014043', 'InterPro:IPR016035', 'InterPro:IPR016036', 'InterPro:IPR016039', 'InterPro:IPR018201', 'InterPro:IPR020806', 'InterPro:IPR020807', 'InterPro:IPR020841', 'InterPro:IPR020843', 'InterPro:IPR029058', 'InterPro:IPR029063', 'InterPro:IPR032821', 'InterPro:IPR036291', 'InterPro:IPR036736', 'InterPro:IPR042104']
2	P12276	Gallus gallus (Chicken)	['EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase', 'EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase', 'EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase', 'EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase', 'EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase', 'EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase', 'EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase', 'EC 3.1.2.14)]']	['InterPro:IPR001031', 'InterPro:IPR001227', 'InterPro:IPR006162', 'InterPro:IPR009081', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013968', 'InterPro:IPR014030', 'InterPro:IPR014031', 'InterPro:IPR014043', 'InterPro:IPR016035', 'InterPro:IPR016036', 'InterPro:IPR016039', 'InterPro:IPR018201', 'InterPro:IPR020806', 'InterPro:IPR020807', 'InterPro:IPR020841', 'InterPro:IPR020843', 'InterPro:IPR029058', 'InterPro:IPR029063', 'InterPro:IPR032821', 'InterPro:IPR036291', 'InterPro:IPR036736', 'InterPro:IPR042104']
3	P0A2C9	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	['EC 1.1.1.100']	['InterPro:IPR002347', 'InterPro:IPR011284', 'InterPro:IPR020904', 'InterPro:IPR036291']
4	P0AEK3	Shigella flexneri	['EC 1.1.1.100']	['InterPro:IPR002347', 'InterPro:IPR011284', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	P9WGT3	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	['EC 1.1.1.100', 'EC 1.1.1.36']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
1	P9WGT2	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	['EC 1.1.1.100']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
2	P0A5Y5	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	['EC 1.1.1.100']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	Q8MIR0	Sus scrofa (Pig)	['EC 1.1.1.103']	['InterPro:IPR001509', 'InterPro:IPR036291']
0	P07913	Escherichia coli (strain K12)	['EC 1.1.1.103']	['InterPro:IPR002328', 'InterPro:IPR004627', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
1	B6I3J6	Escherichia coli (strain SE11)	['EC 1.1.1.103']	['InterPro:IPR002328', 'InterPro:IPR004627', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
2	Q8XEJ1	Escherichia coli O157:H7	['EC 1.1.1.103']	['InterPro:IPR002328', 'InterPro:IPR004627', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
3	B1X950	Escherichia coli (strain K12 / DH10B)	['EC 1.1.1.103']	['InterPro:IPR002328', 'InterPro:IPR004627', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
