Entry	Organism	EC numbers	Interpro_ids	Org
Q02155	Plasmodium falciparum	2.7.1.1	['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']	Plasmodium falciparum
C3KBM0	Pseudomonas fluorescens (strain SBW25)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Pseudomonas fluorescens
Q3K7I5	Pseudomonas fluorescens (strain Pf0-1)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Pseudomonas fluorescens
Q4K734	Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Pseudomonas fluorescens
O87924	Pseudomonas tolaasii	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Pseudomonas tolaasii
C3JXY0	Pseudomonas fluorescens (strain SBW25)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']	Pseudomonas fluorescens
C3K7D6	Pseudomonas fluorescens (strain SBW25)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Pseudomonas fluorescens
Q4KJP6	Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Pseudomonas fluorescens
B3PGC8	Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cellvibrio japonicus
Q3KJG0	Pseudomonas fluorescens (strain Pf0-1)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Pseudomonas fluorescens
B9KRP4	Cereibacter sphaeroides (strain KD131 / KCTC 12085) (Rhodobacter sphaeroides)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Cereibacter sphaeroides
A3PJB4	Cereibacter sphaeroides (strain ATCC 17029 / ATH 2.4.9) (Rhodobacter sphaeroides)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Cereibacter sphaeroides
A4WRT7	Cereibacter sphaeroides (strain ATCC 17025 / ATH 2.4.3) (Rhodobacter sphaeroides)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Cereibacter sphaeroides
Q3J317	Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.) (Rhodobacter sphaeroides)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Cereibacter sphaeroides
A4WRM1	Cereibacter sphaeroides (strain ATCC 17025 / ATH 2.4.3) (Rhodobacter sphaeroides)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Cereibacter sphaeroides
A3PJX6	Cereibacter sphaeroides (strain ATCC 17029 / ATH 2.4.9) (Rhodobacter sphaeroides)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Cereibacter sphaeroides
Q9RNH7	Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.) (Rhodobacter sphaeroides)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Cereibacter sphaeroides
P22780	Cereibacter sphaeroides (Rhodobacter sphaeroides)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cereibacter sphaeroides
P27994	Cereibacter sphaeroides (Rhodobacter sphaeroides)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cereibacter sphaeroides
A4WW38	Cereibacter sphaeroides (strain ATCC 17025 / ATH 2.4.3) (Rhodobacter sphaeroides)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cereibacter sphaeroides
Q3IX60	Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.) (Rhodobacter sphaeroides)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cereibacter sphaeroides
Q3IYB9	Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.) (Rhodobacter sphaeroides)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cereibacter sphaeroides
A4WZQ4	Cereibacter sphaeroides (strain ATCC 17025 / ATH 2.4.3) (Rhodobacter sphaeroides)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cereibacter sphaeroides
A3PNY0	Cereibacter sphaeroides (strain ATCC 17029 / ATH 2.4.9) (Rhodobacter sphaeroides)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cereibacter sphaeroides
A3PRW1	Cereibacter sphaeroides (strain ATCC 17029 / ATH 2.4.9) (Rhodobacter sphaeroides)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cereibacter sphaeroides
Q836R3	Enterococcus faecalis (strain ATCC 700802 / V583)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR022953', 'InterPro:IPR035966']	Enterococcus faecalis
O34154	Enterococcus faecalis (strain ATCC 700802 / V583)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Enterococcus faecalis
Q834X4	Enterococcus faecalis (strain ATCC 700802 / V583)	3.1.3.11	['InterPro:IPR009164', 'InterPro:IPR029052']	Enterococcus faecalis
Q42882	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']	Solanum lycopersicum
O15648	Trypanosoma brucei brucei	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012004', 'InterPro:IPR022953', 'InterPro:IPR035966']	Trypanosoma brucei
Q9NJP9	Trypanosoma brucei brucei	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Trypanosoma brucei
P30616	Trypanosoma brucei brucei	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Trypanosoma brucei
P30615	Trypanosoma brucei brucei	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Trypanosoma brucei
P55238	Hordeum vulgare (Barley)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']	Hordeum vulgare
P30524	Hordeum vulgare (Barley)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']	Hordeum vulgare
P55239	Hordeum vulgare (Barley)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011831', 'InterPro:IPR029044']	Hordeum vulgare
Q8TZI8	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Pyrococcus furiosus
Q9V207	Pyrococcus abyssi (strain GE5 / Orsay)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Pyrococcus abyssi
Q56301	Thermococcus litoralis (strain ATCC 51850 / DSM 5473 / JCM 8560 / NS-C)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Thermococcus litoralis
Q8TZH9	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	3.1.3.11	['InterPro:IPR000760']	Pyrococcus furiosus
C1DHV0	Azotobacter vinelandii (strain DJ / ATCC BAA-1303)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Azotobacter vinelandii
C1DHU3	Azotobacter vinelandii (strain DJ / ATCC BAA-1303)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Azotobacter vinelandii
P21777	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Thermus thermophilus
P21778	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR035966']	Thermus thermophilus
Q72H98	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Thermus thermophilus
O66131	Thermus thermophilus	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Thermus thermophilus
Q9X6C9	Thermus brockianus	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Thermus brockianus
P61489	Thermus thermophilus	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']	Thermus thermophilus
P61488	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']	Thermus thermophilus
Q5SMC1	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Thermus thermophilus
Q72G72	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Thermus thermophilus
Q72K02	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)	3.1.3.11	['InterPro:IPR002803', 'InterPro:IPR036076']	Thermus thermophilus
Q72K02	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)	4.1.2.13	['InterPro:IPR002803', 'InterPro:IPR036076']	Thermus thermophilus
P19911	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cupriavidus necator
P19912	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cupriavidus necator
Q0KCY0	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cupriavidus necator
Q46YH7	Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) (Cupriavidus necator (strain JMP 134))	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Cupriavidus pinatubonensis
Q04524	Raoultella terrigena (Klebsiella terrigena)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012782', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR045229']	Raoultella terrigena
Q09129	Klebsiella aerogenes (Enterobacter aerogenes)	2.2.1.6	[]	Klebsiella aerogenes
P00512	Geobacillus stearothermophilus (Bacillus stearothermophilus)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Geobacillus stearothermophilus
Q02499	Geobacillus stearothermophilus (Bacillus stearothermophilus)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']	Geobacillus stearothermophilus
P53553	Geobacillus stearothermophilus (Bacillus stearothermophilus)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']	Geobacillus stearothermophilus
O08326	Geobacillus stearothermophilus (Bacillus stearothermophilus)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Geobacillus stearothermophilus
A0QUX7	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	2.2.1.6	['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']	Mycolicibacterium smegmatis
P41403	Mycolicibacterium smegmatis (Mycobacterium smegmatis)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']	Mycolicibacterium smegmatis
A0R2E1	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Mycolicibacterium smegmatis
Q59229	Bacillus sp. (strain MGA3)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']	Bacillus sp.
Q02137	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']	Lactococcus lactis
Q02140	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	2.2.1.6	['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']	Lactococcus lactis
P0DOB6	Lactococcus lactis subsp. lactis (Streptococcus lactis)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Lactococcus lactis
P0DOB5	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Lactococcus lactis
P0DOB7	Lactococcus lactis subsp. lactis (Streptococcus lactis)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Lactococcus lactis
Q02YK5	Lactococcus lactis subsp. cremoris (strain SK11)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Lactococcus lactis
A2RKA2	Lactococcus lactis subsp. cremoris (strain MG1363)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Lactococcus lactis
Q9CG64	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Lactococcus lactis
Q07637	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Lactococcus lactis
Q9CHN1	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	2.7.7.27	['InterPro:IPR001451', 'InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Lactococcus lactis
A2RMB7	Lactococcus lactis subsp. cremoris (strain MG1363)	2.7.7.27	['InterPro:IPR001451', 'InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Lactococcus lactis
Q030T6	Lactococcus lactis subsp. cremoris (strain SK11)	2.7.7.27	['InterPro:IPR001451', 'InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Lactococcus lactis
Q9CIU9	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	3.1.3.11	['InterPro:IPR009164', 'InterPro:IPR029052']	Lactococcus lactis
A2RHX9	Lactococcus lactis subsp. cremoris (strain MG1363)	3.1.3.11	['InterPro:IPR009164', 'InterPro:IPR029052']	Lactococcus lactis
P09342	Nicotiana tabacum (Common tobacco)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']	Nicotiana tabacum
P09114	Nicotiana tabacum (Common tobacco)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']	Nicotiana tabacum
Q6Q8A5	Nicotiana tabacum (Common tobacco)	2.7.1.1	['InterPro:IPR001312', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']	Nicotiana tabacum
Q9SEK2	Nicotiana tabacum (Common tobacco)	2.7.1.1	['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']	Nicotiana tabacum
Q40546	Nicotiana tabacum (Common tobacco)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Nicotiana tabacum
Q42954	Nicotiana tabacum (Common tobacco)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Nicotiana tabacum
Q40545	Nicotiana tabacum (Common tobacco)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Nicotiana tabacum
Q0QF17	Mesocricetus auratus (Golden hamster)	1.3.5.1	['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']	Mesocricetus auratus
Q9WY52	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Thermotoga maritima
Q9X049	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Thermotoga maritima
Q9X1E4	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Thermotoga maritima
Q9WY51	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']	Thermotoga maritima
Q8ZYE0	Pyrobaculum aerophilum (strain ATCC 51768 / DSM 7523 / JCM 9630 / CIP 104966 / NBRC 100827 / IM2)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']	Pyrobaculum aerophilum
Q9YEU2	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']	Aeropyrum pernix
Q9WY82	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Thermotoga maritima
O33832	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	3.1.3.11	['InterPro:IPR000760', 'InterPro:IPR020550', 'InterPro:IPR020583']	Thermotoga maritima
O33832	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	3.1.3.25	['InterPro:IPR000760', 'InterPro:IPR020550', 'InterPro:IPR020583']	Thermotoga maritima
O94122	Agaricus bisporus (White button mushroom)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Agaricus bisporus
P27725	Serratia marcescens	2.7.2.4); Homoserine dehydrogenase	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']	Serratia marcescens
